Spine,shaft_name,shaft_x,max_soma_v,max_shaft_v,max_spine_v,soma_v_integ,shaft_v_integ,spine_v_integ,ir_shaft,z_shaft,dist_shaft
0,cell1303_03_model_cm_0_43[0].dend[19],0.500,-85.5609,-85.1373,0,344.207,400.203,0,52.5575,11.96,14.2564
1,cell1303_03_model_cm_0_43[0].dend[19],1.000,-85.605,-84.834,-80.7191,328.767,435.891,874.526,59.0879,17.0947,28.5127
0,cell1303_03_model_cm_0_43[0].dend[19],1.000,-85.5899,-84.778,0,338.969,449.414,0,59.0879,17.0947,28.5127
1,cell1303_03_model_cm_0_43[0].dend[20],0.500,-85.6252,-84.2605,-80.1908,323.922,514.416,951.033,69.9028,25.9937,39.3885
0,cell1303_03_model_cm_0_43[0].dend[20],0.500,-85.6114,-84.1769,0,333.905,530.267,0,69.9028,25.9937,39.3885
1,cell1303_03_model_cm_0_43[0].dend[20],1.000,-85.6424,-83.7805,-79.7669,319.454,591.394,1026.23,80.5655,33.957,50.2642
0,cell1303_03_model_cm_0_43[0].dend[20],1.000,-85.6297,-83.675,0,329.243,609.511,0,80.5655,33.957,50.2642
1,cell1303_03_model_cm_0_43[0].dend[21],0.167,-85.6539,-83.2859,-79.3026,315.992,666.11,1099.15,91.0142,41.8377,60.6666
0,cell1303_03_model_cm_0_43[0].dend[21],0.167,-85.6419,-83.1572,0,325.617,686.392,0,91.0142,41.8377,60.6666
1,cell1303_03_model_cm_0_43[0].dend[21],0.500,-85.6808,-82.169,-78.2851,307.127,874.35,1302.98,120.427,61.0702,81.4713
0,cell1303_03_model_cm_0_43[0].dend[21],0.500,-85.6703,-81.9908,0,316.35,900.594,0,120.427,61.0702,81.4713
1,cell1303_03_model_cm_0_43[0].dend[21],0.833,-85.7046,-81.2555,-77.5772,297.356,1132.12,1556.64,157.19,79.6117,102.276
0,cell1303_03_model_cm_0_43[0].dend[21],0.833,-85.6953,-81.0459,0,306.179,1165.69,0,157.19,79.6117,102.276
1,cell1303_03_model_cm_0_43[0].dend[21],1.000,-85.713,-80.9247,-77.4036,293.087,1257.42,1680.42,175.121,87.0976,112.678
0,cell1303_03_model_cm_0_43[0].dend[21],1.000,-85.704,-80.7082,0,301.75,1294.57,0,175.121,87.0976,112.678
1,cell1303_03_model_cm_0_43[0].dend[22],0.045,-85.7201,-80.2021,-76.7036,288.8,1410.26,1830.32,197.679,99.7338,123.333
0,cell1303_03_model_cm_0_43[0].dend[22],0.045,-85.7115,-79.9546,0,297.253,1451.52,0,197.679,99.7338,123.333
1,cell1303_03_model_cm_0_43[0].dend[22],0.136,-85.7317,-78.9563,-75.5674,281.225,1708.89,2123.77,242.342,123.004,144.643
0,cell1303_03_model_cm_0_43[0].dend[22],0.136,-85.7237,-78.6605,0,289.321,1758.05,0,242.342,123.004,144.643
1,cell1303_03_model_cm_0_43[0].dend[22],0.227,-85.7406,-77.9235,-74.7146,274.71,1999.74,2410.25,286.45,144.24,165.952
0,cell1303_03_model_cm_0_43[0].dend[22],0.227,-85.7329,-77.5951,0,282.514,2056.49,0,286.45,144.24,165.952
1,cell1303_03_model_cm_0_43[0].dend[22],0.318,-85.7477,-76.9785,-74.0142,269.02,2284.88,2691.55,330.26,164.689,187.262
0,cell1303_03_model_cm_0_43[0].dend[22],0.318,-85.7403,-76.6268,0,276.576,2348.99,0,330.26,164.689,187.262
1,cell1303_03_model_cm_0_43[0].dend[22],0.409,-85.7535,-76.0026,-73.3244,263.951,2565.59,2968.68,374.027,185.569,208.571
0,cell1303_03_model_cm_0_43[0].dend[22],0.409,-85.7463,-75.6279,0,271.288,2636.84,0,374.027,185.569,208.571
1,cell1303_03_model_cm_0_43[0].dend[22],0.500,-85.7584,-74.9372,-72.5142,259.324,2842.44,3241.96,418.006,207.869,229.881
0,cell1303_03_model_cm_0_43[0].dend[22],0.500,-85.7515,-74.5323,0,266.457,2920.55,0,418.006,207.869,229.881
1,cell1303_03_model_cm_0_43[0].dend[22],0.591,-85.7629,-73.7767,-71.5241,254.975,3115.32,3511.03,462.453,232.284,251.19
0,cell1303_03_model_cm_0_43[0].dend[22],0.591,-85.7561,-73.3341,0,261.905,3199.9,0,462.453,232.284,251.19
1,cell1303_03_model_cm_0_43[0].dend[22],0.682,-85.767,-72.5364,-70.3655,250.751,3383.42,3774.88,507.627,259.235,272.5
0,cell1303_03_model_cm_0_43[0].dend[22],0.682,-85.7605,-72.0506,0,257.468,3473.96,0,507.627,259.235,272.5
1,cell1303_03_model_cm_0_43[0].dend[22],0.773,-85.7711,-71.2345,-69.0722,246.51,3645.33,4031.89,553.79,288.959,293.809
0,cell1303_03_model_cm_0_43[0].dend[22],0.773,-85.7648,-70.7027,0,252.994,3741.11,0,553.79,288.959,293.809
1,cell1303_03_model_cm_0_43[0].dend[22],0.864,-85.7754,-69.8855,-67.6716,242.129,3899.2,4280.02,601.212,321.619,315.119
0,cell1303_03_model_cm_0_43[0].dend[22],0.864,-85.7693,-69.3072,0,248.352,3999.29,0,601.212,321.619,315.119
1,cell1303_03_model_cm_0_43[0].dend[22],0.955,-85.7798,-68.4947,-66.1784,237.526,4143.18,4517.32,650.169,357.435,336.428
0,cell1303_03_model_cm_0_43[0].dend[22],0.955,-85.774,-67.871,0,243.458,4246.51,0,650.169,357.435,336.428
